x_m,y_m,heading_rad,curvature_1_m
-24.10332556124591,24.68698059628388,-0.7406245744824773,-0.006286363910331623
-20.18788551799661,20.99999999999999,-0.7669725179363572,-0.004809296540387591
-16.217111883785265,17.082939009183647,-0.7874739872811526,-0.0036221274426099332
-12.201888273138021,12.978713763747807,-0.8027964332558795,-0.0026396851595957642
-8.15322013487703,8.732291014345956,-0.81342088136558,-0.001797789213067923
-4.0822045869495875,4.390195457241411,-0.8196712889665785,-0.0010463576108138766
-1.432836755002403e-14,1.543054966925665e-14,-0.8217344208390183,-0.0003441505409432289
4.0822045869496275,-4.390195457241455,-0.8196712889665785,0.00034538327731211944
8.153220134876932,-8.732291014345853,-0.8134208813655801,0.001057659982250722
12.201888273137993,-12.978713763747777,-0.8027964332558793,0.0018303714589975352
16.217111883785236,-17.082939009183615,-0.7874739872811527,0.002707199535713623
20.187885517996648,-21.00000000000003,-0.7669725179363572,0.0037423090375770735
24.103325561245885,-24.686980596283856,-0.7406245744824773,0.0050061501004317575
27.952700064533364,-28.103485467071994,-0.7075365093112922,0.006593114677976502
31.72545815991238,-31.21208267005053,-0.6665385819408902,0.008631374574029044
35.41125897968464,-33.978713763747784,-0.6161290732327857,0.011294272737204254
39.00000000000001,-36.373066958946424,-0.554426108545339,0.014809740264831417
42.481844731172075,-38.368909220989224,-0.4791617113404354,0.0194568986454538
45.84724967881289,-39.944373684396446,-0.38779184580099113,0.02552368364157586
49.08699050188727,-41.082199230819825,-0.27785356946134077,0.03317627773712251
52.19218729599096,-41.769919605467486,-0.14773692380673914,0.04218473448302526
55.15432893255069,-42.0,0.0020754427297491607,0.05154255857250926
57.96529638723675,-41.76991960546748,0.16769655883314172,0.05930210190089621
60.617384993643704,-41.082199230819846,0.3414832439504491,0.06317887478670722
63.103325561245896,-39.94437368439646,0.5135993445430833,0.061912977159100935
65.41630429974305,-38.368909220989266,0.6749945020087647,0.05618522390900086
67.54998149518623,-36.37306695894641,0.8198645541398338,0.0480519559222084
69.49850888669269,-33.978713763747805,0.9462095305999787,0.0395945836705874
71.25654569612287,-31.212082670050552,1.0548522065778545,0.03209269931808527
72.81927326678172,-28.10348546707208,1.1480734605179714,0.02601012339188754
74.18240827102197,-24.686980596283885,1.2285967950340804,0.021326002648963865
75.34221445054733,-20.999999999999996,1.2990475406686066,0.017828798248783587
76.29551285723684,-17.08293900918358,1.3617458747434112,0.01527752401143981
77.03969056642073,-12.978713763747812,1.4186765567908792,0.013466019560575339
77.57270783872532,-8.732291014345888,1.4715347058073545,0.012238988157458478
77.89310371085676,-4.39019545724149,1.521796886819275,0.011489706279743342
78.0,-9.518105348048606e-14,1.5464522690898475,0.011489706279743342
